ensembl_gene_id	mgi_symbol	entrezgene	description
10090.ENSMUSP00000000001	ENSMUSG00000000001	Gnai3	14679	guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]
10090.ENSMUSP00000010205	ENSMUSG00000034837	Gnat1	14685	guanine nucleotide binding protein, alpha transducing 1 [Source:MGI Symbol;Acc:MGI:95778]
10090.ENSMUSP00000053818	ENSMUSG00000009108	Gnat2	14686	guanine nucleotide binding protein, alpha transducing 2 [Source:MGI Symbol;Acc:MGI:95779]
10090.ENSMUSP00000000153	ENSMUSG00000000149	Gna12	14673	guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]
10090.ENSMUSP00000020930	ENSMUSG00000020611	Gna13	14674	guanine nucleotide binding protein, alpha 13 [Source:MGI Symbol;Acc:MGI:95768]
10090.ENSMUSP00000053489	ENSMUSG00000045382	Cxcr4	12767	chemokine (C-X-C motif) receptor 4 [Source:MGI Symbol;Acc:MGI:109563]
10090.ENSMUSP00000079341	ENSMUSG00000027523	Gnas	14683	GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus [Source:MGI Symbol;Acc:MGI:95777]
10090.ENSMUSP00000030940	ENSMUSG00000029064	Gnb1	14688	guanine nucleotide binding protein (G protein), beta 1 [Source:MGI Symbol;Acc:MGI:95781]
10090.ENSMUSP00000103201	ENSMUSG00000038668	Lpar1	14745	lysophosphatidic acid receptor 1 [Source:MGI Symbol;Acc:MGI:108429]
10090.ENSMUSP00000024206	ENSMUSG00000023439	Gnb3	14695	guanine nucleotide binding protein (G protein), beta 3 [Source:MGI Symbol;Acc:MGI:95785]
10090.ENSMUSP00000043190	ENSMUSG00000034781	Gna11	14672	guanine nucleotide binding protein, alpha 11 [Source:MGI Symbol;Acc:MGI:95766]
10090.ENSMUSP00000025541	ENSMUSG00000024639	Gnaq	14682	guanine nucleotide binding protein, alpha q polypeptide [Source:MGI Symbol;Acc:MGI:95776]
10090.ENSMUSP00000049175	ENSMUSG00000034792	Gna15	14676	guanine nucleotide binding protein, alpha 15 [Source:MGI Symbol;Acc:MGI:95770]
10090.ENSMUSP00000036087	ENSMUSG00000040009	Gnaz	14687	guanine nucleotide binding protein, alpha z subunit [Source:MGI Symbol;Acc:MGI:95780]
10090.ENSMUSP00000034198	ENSMUSG00000031748	Gnao1	14681	guanine nucleotide binding protein, alpha O [Source:MGI Symbol;Acc:MGI:95775]
10090.ENSMUSP00000000010	ENSMUSG00000020875	Hoxb9	15417	homeobox B9 [Source:MGI Symbol;Acc:MGI:96190]
10090.ENSMUSP00000020692	ENSMUSG00000020423	Btg2	12227	B cell translocation gene 2, anti-proliferative [Source:MGI Symbol;Acc:MGI:108384]
10090.ENSMUSP00000000049	ENSMUSG00000000049	Apoh	11818	apolipoprotein H [Source:MGI Symbol;Acc:MGI:88058]
10090.ENSMUSP00000106951	ENSMUSG00000005681	Apoa2	11807	apolipoprotein A-II [Source:MGI Symbol;Acc:MGI:88050]
10090.ENSMUSP00000038559	ENSMUSG00000037053	Azgp1	12007	alpha-2-glycoprotein 1, zinc [Source:MGI Symbol;Acc:MGI:103163]
10090.ENSMUSP00000068971	ENSMUSG00000026715	Serpinc1	11905	serine (or cysteine) peptidase inhibitor, clade C (antithrombin), member 1 [Source:MGI Symbol;Acc:MGI:88095]
